person,cluster
1.0,10
2.0,4
3.0,8
4.0,7
5.0,3
6.0,3
7.0,9
8.0,4
9.0,7
10.0,5
11.0,2
12.0,5
13.0,9
14.0,7
15.0,10
16.0,3
17.0,5
18.0,5
19.0,7
20.0,5
21.0,9
22.0,5
23.0,10
24.0,10
25.0,7
26.0,4
27.0,7
28.0,2
29.0,2
30.0,9
31.0,6
32.0,2
33.0,7
34.0,9
35.0,8
36.0,7
37.0,9
38.0,5
39.0,2
40.0,3
41.0,5
42.0,9
43.0,5
44.0,7
45.0,3
46.0,7
47.0,5
48.0,2
49.0,5
50.0,9
51.0,3
52.0,2
53.0,5
54.0,5
55.0,2
56.0,4
57.0,4
58.0,4
59.0,3
60.0,10
61.0,3
62.0,9
63.0,10
64.0,7
65.0,10
66.0,5
67.0,3
68.0,10
69.0,2
70.0,5
71.0,7
72.0,7
73.0,5
74.0,2
75.0,7
76.0,9
77.0,5
78.0,2
79.0,9
80.0,2
81.0,10
82.0,9
83.0,7
84.0,2
85.0,10
86.0,3
87.0,3
88.0,1
89.0,3
90.0,10
91.0,7
92.0,4
93.0,2
94.0,5
95.0,7
96.0,9
97.0,2
98.0,3
99.0,9
100.0,9
101.0,10
102.0,4
103.0,1
104.0,7
105.0,3
106.0,4
107.0,6
108.0,1
109.0,9
110.0,10
111.0,10
112.0,5
113.0,5
114.0,2
115.0,10
116.0,8
117.0,2
118.0,4
119.0,7
120.0,7
121.0,5
122.0,10
123.0,3
124.0,9
125.0,10
126.0,7
127.0,4
128.0,7
129.0,1
130.0,2
131.0,2
132.0,4
133.0,3
134.0,7
135.0,9
136.0,5
137.0,7
138.0,3
139.0,7
140.0,10
141.0,3
142.0,9
143.0,2
144.0,3
145.0,10
146.0,5
147.0,3
148.0,5
149.0,9
150.0,5
151.0,5
152.0,9
153.0,9
154.0,8
155.0,4
156.0,9
157.0,10
158.0,2
159.0,5
160.0,10
161.0,4
162.0,2
163.0,7
164.0,2
165.0,3
166.0,9
167.0,9
168.0,10
169.0,2
170.0,9
171.0,4
172.0,2
173.0,5
174.0,10
175.0,4
176.0,10
177.0,7
178.0,3
179.0,3
180.0,10
181.0,4
182.0,2
183.0,7
184.0,2
185.0,2
186.0,9
187.0,10
188.0,5
189.0,2
190.0,10
191.0,3
192.0,10
193.0,6
194.0,7
195.0,3
196.0,7
197.0,4
198.0,4
199.0,5
200.0,4
201.0,4
202.0,10
203.0,5
204.0,3
205.0,3
206.0,10
207.0,7
208.0,5
209.0,5
210.0,10
211.0,2
212.0,9
213.0,4
214.0,2
215.0,2
216.0,5
217.0,5
218.0,4
219.0,4
220.0,5
221.0,9
222.0,10
223.0,5
224.0,4
225.0,2
226.0,5
227.0,10
228.0,7
229.0,3
230.0,5
231.0,9
232.0,9
233.0,4
234.0,5
235.0,10
236.0,10
237.0,10
238.0,10
239.0,9
240.0,7
241.0,10
242.0,5
243.0,3
244.0,10
245.0,10
246.0,3
247.0,4
248.0,10
249.0,7
250.0,7
251.0,5
252.0,2
253.0,3
254.0,9
255.0,9
256.0,5
257.0,5
258.0,7
259.0,4
260.0,10
261.0,2
262.0,5
263.0,3
264.0,2
265.0,5
266.0,3
267.0,9
268.0,10
269.0,3
270.0,5
271.0,2
272.0,6
273.0,7
274.0,2
275.0,6
276.0,5
277.0,9
278.0,5
279.0,2
280.0,10
281.0,9
282.0,5
283.0,4
284.0,5
285.0,6
286.0,5
287.0,8
288.0,7
289.0,3
290.0,5
291.0,5
292.0,3
293.0,9
294.0,2
295.0,4
296.0,10
297.0,10
298.0,2
299.0,5
300.0,7
301.0,4
302.0,4
303.0,7
304.0,3
305.0,2
306.0,7
307.0,2
308.0,9
309.0,8
310.0,7
311.0,9
312.0,10
313.0,1
314.0,2
315.0,5
316.0,9
317.0,9
318.0,2
319.0,7
320.0,9
321.0,10
322.0,10
323.0,3
324.0,3
325.0,7
326.0,9
327.0,5
328.0,2
329.0,7
330.0,3
331.0,7
332.0,5
333.0,2
334.0,10
335.0,5
336.0,10
337.0,9
338.0,9
339.0,4
340.0,2
341.0,10
342.0,10
343.0,3
344.0,5
345.0,5
346.0,3
347.0,10
348.0,4
349.0,3
350.0,10
351.0,4
352.0,2
353.0,9
354.0,2
355.0,10
356.0,2
357.0,10
358.0,2
359.0,7
360.0,5
361.0,2
362.0,10
363.0,10
364.0,7
365.0,9
366.0,7
367.0,7
368.0,9
369.0,7
370.0,10
371.0,2
372.0,2
373.0,10
374.0,5
375.0,3
376.0,2
377.0,10
378.0,1
379.0,2
380.0,10
381.0,1
382.0,5
383.0,2
384.0,7
385.0,3
386.0,5
387.0,8
388.0,10
389.0,2
390.0,10
391.0,2
392.0,3
393.0,10
394.0,7
395.0,7
396.0,9
397.0,10
398.0,2
399.0,4
400.0,7
401.0,3
402.0,5
403.0,7
404.0,10
405.0,4
406.0,2
407.0,2
408.0,3
409.0,7
410.0,4
411.0,2
412.0,2
413.0,10
414.0,5
415.0,2
416.0,7
417.0,2
418.0,3
419.0,2
420.0,9
421.0,10
422.0,4
423.0,7
424.0,10
425.0,9
426.0,3
427.0,5
428.0,2
429.0,9
430.0,4
431.0,7
432.0,7
433.0,3
434.0,2
435.0,8
436.0,7
437.0,9
438.0,5
439.0,3
440.0,2
441.0,7
442.0,4
443.0,3
444.0,5
445.0,5
446.0,2
447.0,5
448.0,2
449.0,10
450.0,2
451.0,5
452.0,3
453.0,5
454.0,4
455.0,9
456.0,10
457.0,2
458.0,5
459.0,10
460.0,2
461.0,7
462.0,5
463.0,9
464.0,9
465.0,3
466.0,4
467.0,5
468.0,7
469.0,10
470.0,9
471.0,10
472.0,10
473.0,2
474.0,9
475.0,4
476.0,2
477.0,2
478.0,10
479.0,8
480.0,9
481.0,7
482.0,10
483.0,7
484.0,10
485.0,7
486.0,3
487.0,2
488.0,5
489.0,2
490.0,9
491.0,4
492.0,10
493.0,4
494.0,5
495.0,5
496.0,7
497.0,7
498.0,2
499.0,3
500.0,10
501.0,3
502.0,2
503.0,7
504.0,3
505.0,10
506.0,4
507.0,7
508.0,2
509.0,2
510.0,2
511.0,7
512.0,5
513.0,5
514.0,2
515.0,3
516.0,10
517.0,10
518.0,10
519.0,9
520.0,10
521.0,5
522.0,7
523.0,4
524.0,7
525.0,10
526.0,5
527.0,4
528.0,2
529.0,3
530.0,2
531.0,7
532.0,9
533.0,5
534.0,7
