person,offer completed,offer received,offer viewed,transaction,transaction amount,reward given,transaction amount under offer,transactions completed under offer,email,mobile,social,web,bogo,discount,informational,difficulty,duration,age,income,offers viewed ratio,offers completed ratio,transactions ratio,F,M,O,cluster
1.0,3.0,5.0,4.0,8.0,127.6,9.0,127.60000000000001,8.0,5.0,5.0,3.0,4.0,1.0,2.0,2.0,5.0,5.8,33.0,72000.0,0.8,0.6,1.0,0.0,1.0,0.0,10
2.0,0.0,2.0,2.0,3.0,4.09,0.0,0.7000000000000001,1.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,5.0,5.0,55.0,64000.0,1.0,0.0,0.3333333333333333,0.0,0.0,0.0,4
3.0,3.0,5.0,5.0,5.0,79.46000000000001,13.0,65.97,4.0,5.0,4.0,2.0,4.0,1.0,2.0,2.0,6.4,6.2,40.0,57000.0,1.0,0.6,0.8,0.0,0.0,1.0,8
4.0,3.0,5.0,3.0,8.0,196.86,14.0,196.86,8.0,5.0,5.0,5.0,3.0,2.0,2.0,1.0,8.0,7.0,59.0,90000.0,0.6,0.6,1.0,1.0,0.0,0.0,7
5.0,3.0,4.0,4.0,12.0,154.04999999999998,13.0,137.77999999999997,11.0,4.0,4.0,3.0,3.0,2.0,1.0,1.0,4.25,5.5,24.0,60000.0,1.0,0.75,0.9166666666666666,1.0,0.0,0.0,3
6.0,3.0,5.0,4.0,18.0,48.34000000000001,9.0,41.93000000000001,15.0,5.0,4.0,3.0,4.0,0.0,3.0,2.0,8.0,7.4,26.0,73000.0,0.8,0.6,0.8333333333333334,1.0,0.0,0.0,3
7.0,1.0,5.0,2.0,17.0,68.50999999999999,2.0,58.28999999999999,12.0,5.0,4.0,2.0,4.0,0.0,4.0,1.0,10.0,7.4,19.0,65000.0,0.4,0.2,0.7058823529411765,1.0,0.0,0.0,9
8.0,2.0,3.0,2.0,6.0,138.36,7.0,47.85,2.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,5.0,6.333333333333333,55.0,74000.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,0.0,0.0,4
9.0,5.0,5.0,4.0,12.0,347.37999999999994,24.0,347.37999999999994,12.0,5.0,5.0,5.0,4.0,3.0,2.0,0.0,8.0,7.4,54.0,99000.0,0.8,1.0,1.0,0.0,1.0,0.0,7
10.0,1.0,5.0,3.0,4.0,20.360000000000003,5.0,20.360000000000003,4.0,5.0,5.0,3.0,2.0,4.0,1.0,0.0,9.0,7.0,56.0,47000.0,0.6,0.2,1.0,0.0,1.0,0.0,5
11.0,3.0,4.0,3.0,5.0,144.14,13.0,116.55,4.0,4.0,3.0,1.0,4.0,1.0,2.0,1.0,8.0,7.0,54.0,91000.0,0.75,0.75,0.8,0.0,1.0,0.0,2
12.0,0.0,5.0,5.0,3.0,7.210000000000001,0.0,4.45,2.0,5.0,4.0,3.0,3.0,2.0,2.0,1.0,8.4,6.8,55.0,64000.0,1.0,0.0,0.6666666666666666,0.0,0.0,0.0,5
13.0,1.0,4.0,1.0,5.0,33.5,2.0,13.09,2.0,4.0,3.0,0.0,4.0,0.0,3.0,1.0,10.0,7.0,55.0,64000.0,0.25,0.25,0.4,0.0,0.0,0.0,9
14.0,5.0,6.0,3.0,15.0,375.11999999999995,32.0,297.78000000000003,12.0,6.0,4.0,2.0,5.0,2.0,3.0,1.0,11.666666666666666,7.166666666666667,58.0,119000.0,0.5,0.8333333333333334,0.8,1.0,0.0,0.0,7
15.0,2.0,5.0,4.0,7.0,121.85,10.0,81.48,5.0,5.0,5.0,1.0,4.0,2.0,0.0,3.0,2.0,5.0,28.0,68000.0,0.8,0.4,0.7142857142857143,1.0,0.0,0.0,10
16.0,3.0,6.0,2.0,17.0,62.93,9.0,50.04999999999999,14.0,6.0,5.0,1.0,6.0,1.0,4.0,1.0,9.166666666666666,7.5,26.0,61000.0,0.3333333333333333,0.5,0.8235294117647058,0.0,1.0,0.0,3
17.0,0.0,5.0,3.0,4.0,6.26,0.0,6.26,4.0,5.0,4.0,3.0,4.0,4.0,1.0,0.0,10.0,6.8,71.0,41000.0,0.6,0.0,1.0,0.0,1.0,0.0,5
18.0,0.0,6.0,5.0,7.0,16.18,0.0,11.05,5.0,6.0,6.0,5.0,3.0,3.0,1.0,2.0,5.833333333333333,5.0,24.0,42000.0,0.8333333333333334,0.0,0.7142857142857143,0.0,1.0,0.0,5
19.0,4.0,5.0,5.0,12.0,279.15999999999997,25.0,279.15999999999997,12.0,5.0,4.0,4.0,5.0,4.0,1.0,0.0,10.0,6.0,62.0,81000.0,1.0,0.8,1.0,1.0,0.0,0.0,7
20.0,0.0,6.0,6.0,3.0,2.54,0.0,2.54,3.0,6.0,6.0,4.0,4.0,3.0,2.0,1.0,6.166666666666667,6.0,55.0,64000.0,1.0,0.0,1.0,0.0,0.0,0.0,5
21.0,2.0,5.0,3.0,9.0,105.83,7.0,24.950000000000003,6.0,5.0,4.0,2.0,5.0,1.0,4.0,0.0,12.0,7.8,61.0,66000.0,0.6,0.4,0.6666666666666666,0.0,1.0,0.0,9
22.0,0.0,5.0,5.0,7.0,11.780000000000001,0.0,3.2999999999999994,3.0,5.0,4.0,3.0,5.0,1.0,4.0,0.0,9.8,7.2,55.0,64000.0,1.0,0.0,0.42857142857142855,0.0,0.0,0.0,5
23.0,1.0,5.0,5.0,11.0,166.4,5.0,160.37,10.0,5.0,5.0,2.0,5.0,2.0,0.0,3.0,3.0,4.4,88.0,54000.0,1.0,0.2,0.9090909090909091,1.0,0.0,0.0,10
24.0,0.0,5.0,5.0,8.0,20.73,0.0,18.41,7.0,5.0,5.0,4.0,3.0,2.0,1.0,2.0,4.4,5.0,55.0,64000.0,1.0,0.0,0.875,0.0,0.0,0.0,10
25.0,4.0,6.0,5.0,8.0,218.04999999999995,26.0,218.05,8.0,6.0,6.0,5.0,3.0,2.0,3.0,1.0,7.333333333333333,6.333333333333333,55.0,83000.0,0.8333333333333334,0.6666666666666666,1.0,0.0,1.0,0.0,7
26.0,0.0,3.0,2.0,5.0,20.53,0.0,0.0,0.0,3.0,3.0,2.0,2.0,2.0,1.0,0.0,8.333333333333334,6.333333333333333,21.0,59000.0,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,4
27.0,3.0,5.0,5.0,5.0,133.25,8.0,133.25,5.0,5.0,5.0,5.0,3.0,1.0,3.0,1.0,6.8,6.8,72.0,102000.0,1.0,0.6,1.0,0.0,1.0,0.0,7
28.0,3.0,5.0,2.0,10.0,163.92,17.0,105.10000000000001,6.0,5.0,4.0,3.0,3.0,1.0,2.0,2.0,8.0,6.8,62.0,80000.0,0.4,0.6,0.6,0.0,1.0,0.0,2
29.0,3.0,3.0,2.0,8.0,219.63,25.0,160.46,6.0,3.0,2.0,2.0,2.0,2.0,1.0,0.0,13.333333333333334,7.333333333333333,50.0,104000.0,0.6666666666666666,1.0,0.75,0.0,1.0,0.0,2
30.0,0.0,3.0,3.0,3.0,7.74,0.0,3.89,2.0,3.0,3.0,1.0,3.0,1.0,2.0,0.0,8.333333333333334,8.0,55.0,64000.0,1.0,0.0,0.6666666666666666,0.0,0.0,0.0,9
31.0,0.0,4.0,4.0,4.0,53.550000000000004,0.0,0.0,0.0,4.0,4.0,2.0,4.0,3.0,1.0,0.0,6.25,7.25,68.0,76000.0,1.0,0.0,0.0,1.0,0.0,0.0,6
32.0,3.0,4.0,4.0,7.0,77.21000000000001,9.0,42.63,4.0,4.0,4.0,2.0,3.0,1.0,2.0,1.0,6.25,6.75,94.0,50000.0,1.0,0.75,0.5714285714285714,0.0,1.0,0.0,2
33.0,5.0,5.0,4.0,8.0,150.64,19.0,126.65,7.0,5.0,5.0,3.0,4.0,1.0,4.0,0.0,9.4,7.6,44.0,72000.0,0.8,1.0,0.875,0.0,1.0,0.0,7
34.0,1.0,4.0,2.0,3.0,63.49999999999999,10.0,63.49999999999999,3.0,4.0,4.0,2.0,3.0,2.0,2.0,0.0,8.0,7.0,59.0,77000.0,0.5,0.25,1.0,0.0,1.0,0.0,9
35.0,4.0,4.0,4.0,8.0,164.01,23.0,114.38,6.0,4.0,3.0,3.0,4.0,2.0,2.0,0.0,10.5,6.75,52.0,80000.0,1.0,1.0,0.75,0.0,0.0,1.0,8
36.0,3.0,5.0,4.0,5.0,124.09,14.0,24.21,1.0,5.0,5.0,4.0,5.0,3.0,2.0,0.0,10.0,6.4,58.0,102000.0,0.8,0.6,0.2,1.0,0.0,0.0,7
37.0,0.0,4.0,3.0,2.0,6.9799999999999995,0.0,5.93,1.0,4.0,4.0,3.0,4.0,1.0,3.0,0.0,9.25,7.25,33.0,42000.0,0.75,0.0,0.5,0.0,1.0,0.0,9
38.0,0.0,6.0,4.0,2.0,2.59,0.0,2.59,2.0,6.0,5.0,3.0,5.0,2.0,3.0,1.0,10.0,7.166666666666667,28.0,35000.0,0.6666666666666666,0.0,1.0,0.0,1.0,0.0,5
39.0,3.0,4.0,4.0,11.0,241.54999999999998,15.0,204.89999999999998,10.0,4.0,4.0,3.0,3.0,1.0,2.0,1.0,6.75,7.0,47.0,86000.0,1.0,0.75,0.9090909090909091,0.0,1.0,0.0,2
40.0,3.0,5.0,4.0,14.0,134.74000000000004,8.0,134.74,14.0,5.0,5.0,4.0,4.0,0.0,3.0,2.0,4.8,6.2,22.0,49000.0,0.8,0.6,1.0,1.0,0.0,0.0,3
41.0,0.0,5.0,4.0,9.0,26.98,0.0,21.82,7.0,5.0,4.0,4.0,4.0,3.0,2.0,0.0,10.4,6.8,34.0,38000.0,0.8,0.0,0.7777777777777778,0.0,1.0,0.0,5
42.0,2.0,3.0,3.0,3.0,64.27000000000001,4.0,33.28,1.0,3.0,3.0,2.0,3.0,0.0,3.0,0.0,10.0,9.0,53.0,73000.0,1.0,0.6666666666666666,0.3333333333333333,0.0,1.0,0.0,9
43.0,1.0,5.0,3.0,8.0,26.18,5.0,10.43,5.0,5.0,4.0,3.0,3.0,3.0,2.0,0.0,10.4,7.6,53.0,40000.0,0.6,0.2,0.625,0.0,1.0,0.0,5
44.0,5.0,6.0,4.0,12.0,334.64000000000004,24.0,287.63,10.0,6.0,6.0,3.0,6.0,3.0,2.0,1.0,6.666666666666667,6.333333333333333,58.0,115000.0,0.6666666666666666,0.8333333333333334,0.8333333333333334,1.0,0.0,0.0,7
45.0,4.0,5.0,5.0,19.0,59.62,23.0,58.29,18.0,5.0,5.0,4.0,4.0,3.0,1.0,1.0,5.4,5.4,22.0,32000.0,1.0,0.8,0.9473684210526315,0.0,1.0,0.0,3
46.0,5.0,5.0,3.0,7.0,162.42,21.0,141.73,6.0,5.0,5.0,2.0,5.0,2.0,3.0,0.0,9.0,7.2,71.0,75000.0,0.6,1.0,0.8571428571428571,0.0,1.0,0.0,7
47.0,1.0,5.0,4.0,2.0,44.599999999999994,10.0,44.599999999999994,2.0,5.0,5.0,4.0,3.0,2.0,2.0,1.0,7.4,7.0,45.0,88000.0,0.8,0.2,1.0,0.0,1.0,0.0,5
48.0,2.0,3.0,3.0,20.0,191.54999999999998,4.0,171.36999999999998,15.0,3.0,3.0,3.0,3.0,1.0,2.0,0.0,10.0,8.333333333333334,82.0,33000.0,1.0,0.6666666666666666,0.75,1.0,0.0,0.0,2
49.0,1.0,5.0,4.0,2.0,23.07,5.0,23.07,2.0,5.0,4.0,3.0,3.0,2.0,2.0,1.0,9.0,6.4,40.0,65000.0,0.8,0.2,1.0,0.0,1.0,0.0,5
50.0,1.0,4.0,3.0,7.0,30.98,3.0,14.940000000000001,3.0,4.0,3.0,2.0,4.0,1.0,2.0,1.0,9.25,6.5,35.0,70000.0,0.75,0.25,0.42857142857142855,0.0,1.0,0.0,9
