Attributes,Values
Type,Public
Traded as,BSE: 500477NSE: ASHOKLEY
Industry,Automotive
Founded,7 September 1948; 72 years ago (1948-09-07)
Headquarters,"Chennai, Tamil Nadu, India"
Area served,Worldwide
Products,Automobile partsCommercial vehiclesEngines
Services,Vehicle financing
Revenue," ₹22,059 crore (US$3.1 billion) (2020)[1]"
Operating income," ₹2,537 crore (US$360 million) (2020)[1]"
Net income, ₹456 crore (US$64 million) (2020)[1]
Total assets," ₹38,126 crore (US$5.3 billion) (2020)[1]"
Total equity," ₹7,469 crore (US$1.0 billion) (2020)[1]"
Number of employees,"11,463 (2020)[1]"
Parent,Hinduja Group
Subsidiaries,Albonair GmbHGlobal TVS Bus Body Builders LimitedOptareHinduja Leyland FinanceHinduja TechLanka Ashok Leyland[2]
Website,www.ashokleyland.com
