Attributes,Values
Type,Public
Traded as,BSE: 532977NSE: BAJAJ-AUTOBSE SENSEX ConstituentNSE NIFTY 50 Constituent
ISIN,INE917I01010
Industry,Automotive
Founded,29 November 1945; 75 years ago (1945-11-29)
Founder,Jamnalal Bajaj
Headquarters,"Pune, Maharashtra, India"
Key people,Rahul Bajaj (Chairman)Rajiv Bajaj (Managing Director)
Products,Motorcycles and three-wheeler vehicles
Production output," 6,330,000 units (2019)[1]"
Revenue," ₹29,919 crore (US$4.2 billion) (FY2020)[1]"
Operating income," ₹5,253 crore (US$740 million) (FY2020)[1]"
Net income," ₹5,100 crore (US$720 million) (FY2020)[1]"
Total assets," ₹26,510 crore (US$3.7 billion) (FY2020)[1]"
Total equity," ₹21,662 crore (US$3.0 billion) (FY2020)[1]"
Number of employees,"10,000
 (2019)[1]"
Parent,Bajaj Group
Website,bajajauto.com
