Attributes,Values
Type,Public
Traded as,BSE: 950041NSE: BANDHANBNK
ISIN,INE545U01014
Industry,BankingFinancial services
Founded,23 August 2015 (5 years ago) (2015-08-23)
Founders,Chandra Shekhar Ghosh
Headquarters,"Kolkata, West Bengal, India."
Number of locations,"5,197 Banking outlets [1] (2020)"
Area served,India
Key people,Dr. Anup Kumar Sinha  (Chairman)Chandra Shekhar Ghosh(MD & CEO)
Revenue, ₹78.73 billion (US$1.1 billion) (2020)
Operating income, ₹54.46 billion (US$760 million) (2020)
Net income, ₹30.24 billion (US$420 million) (2020)
Total assets, ₹917.18 billion (US$13 billion) (2020)
Owner,Bandhan Financial Holdings Limited
Number of employees,"47,260 (2020) [2]"
Capital ratio,27.43%[citation needed]
Website,www.bandhanbank.com
