Attributes,Values
Type,Public
Traded as,NSE: FEDERALBNKBSE: 500469LSE: FEDS
Industry,BankingFinancial services
Founded,23 April 1931 (1931-04-23)(as Travancore Federal Bank)2 December 1949; 71 years ago (1949-12-02)(as Federal Bank)
Founder,K. P. Hormis [1]
Headquarters,"Aluva, Kochi, Kerala, India"
Number of locations,"1,263 branches (2020)"
Key people,Shyam Srinivasan  (MD & CEO)
Products,Retail BankingWholesale BankingFinance and InsuranceMortgage loansWealth managementInvestment bankingCredit cardsDebit cards
Revenue,"₹15,142.16 crore (US$2.1 billion) (2020)[2]"
Operating income," ₹3,204.70 crore (US$450 million) (2020)[2]"
Net income," ₹1,542.78 crore (US$220 million) (2020)[2]"
Total assets,"₹180,638.05 crore (US$25 billion) (2020)[2]"
Number of employees,"12,496 (2020)[2]"
Capital ratio,14.35% [2]
Website,www.federalbank.co.in
