Attributes,Values
Type,Public
Traded as,BSE: 500290NSE: MRF
ISIN,INE883A01011
Industry,TyresRubber products
Founded,"Tiruvottiyur, Madras, Tamil Nadu, India (1946; 75 years ago (1946))"
Founder,K. M. Mammen Mappillai
Headquarters,"Chennai, Tamil Nadu, India"
Area served,Worldwide
Key people,"Late K.M.Mammen (Chairman & MD),
Rahul Mammen Mappillai ( CEO )"
Products,TyresToysSports equipmentConveyor beltPaintsCoats
Revenue," ₹22,683.87 crore (US$3.2 billion) (2017)"
Operating income," ₹18,482.15 crore (US$2.6 billion) (2017)"
Net income, ₹802.21 crore (US$110 million) (2017)
Total assets," ₹9,978.98 crore (US$1.4 billion) (2017)"
Total equity," ₹5,675.72 crore (US$800 million) (2017)"
Number of employees,"16,194 (2017)"
Website,mrftyres.com
