Attributes,Values
Type,Public
Traded as,BSE: 532343NSE: TVSMOTOR
Industry,Automotive
Founded,1978; 43 years ago (1978)
Founder,T. V. Sundaram Iyengar
Headquarters,"Chennai, Tamil Nadu, India"
Number of locations,4 two wheeler and 1 three wheeler plants
Area served,Worldwide
Key people,Venu Srinivasan(Chairman & Managing Director)Sudarshan Venu(Joint Managing Director)
Products,Two-wheelerThree-wheelerAutomobile parts
Services,Vehicle service
Revenue," ₹18,901 crore (US$2.6 billion) (2020)[1]"
Operating income," ₹1,728 crore (US$240 million) (2020)[1]"
Net income, ₹655 crore (US$92 million) (2020)[1]
Total assets," ₹19,280 crore (US$2.7 billion) (2020)[1]"
Total equity," ₹3,234 crore (US$450 million) (2020)[1]"
Number of employees,"5,133 (2020)[1]"
Parent,Sundaram - Clayton Limited (57.40%)
Subsidiaries,Norton Motorcycle Company
Website,tvsmotor.com
