pid,oid,offer viewed
1,3,0
1,4,1
1,6,1
1,9,1
1,10,1
2,9,2
3,1,1
3,2,1
3,4,1
3,6,1
3,7,1
4,5,1
4,6,1
4,8,0
4,10,1
5,2,1
5,6,1
5,7,1
5,9,1
6,1,0
6,4,1
6,6,1
6,10,2
7,1,0
7,3,0
7,6,1
7,10,1
8,4,0
8,9,1
8,10,1
9,8,0
9,9,2
9,10,2
10,3,0
10,7,0
10,8,3
11,1,0
11,2,1
11,4,1
11,7,1
12,1,1
12,2,1
12,6,1
12,7,1
12,8,1
13,1,0
13,3,1
13,4,0
14,1,1
14,3,1
14,4,0
14,5,0
14,8,1
15,4,2
15,6,1
15,7,1
16,1,0
16,3,1
16,4,0
16,7,0
16,10,1
17,1,0
17,5,1
17,7,0
17,8,1
17,9,1
18,3,0
18,5,1
18,6,2
18,8,1
18,9,1
19,1,1
19,5,2
19,9,2
20,2,1
20,3,1
20,6,1
20,7,1
20,8,1
20,9,1
21,1,0
21,3,1
21,5,1
21,10,1
22,1,1
22,2,2
22,3,1
22,9,1
23,4,3
23,5,1
23,9,1
24,2,1
24,5,1
24,6,2
24,7,1
25,2,2
25,3,1
25,6,1
25,8,1
26,3,0
26,8,1
26,9,1
27,2,2
27,6,1
27,8,1
27,10,1
28,1,0
28,4,0
28,6,1
28,8,0
28,10,1
29,1,0
29,5,1
29,8,1
30,3,1
30,7,1
30,10,1
31,7,2
31,9,1
31,10,1
32,3,1
32,6,1
32,7,1
32,10,1
33,2,1
33,3,1
33,8,1
33,10,1
34,2,1
34,3,0
34,7,0
34,8,1
35,1,1
35,2,1
35,5,1
35,9,1
36,3,0
36,5,3
36,10,1
37,2,1
37,3,1
37,5,1
37,10,0
38,1,0
38,3,0
38,4,1
38,5,1
38,8,1
38,10,1
39,2,1
39,4,1
39,8,1
39,10,1
40,2,2
40,4,0
40,6,1
40,10,1
41,1,0
41,2,1
41,5,1
41,8,1
41,9,1
42,3,1
42,10,2
43,1,0
43,2,1
43,7,0
43,8,2
44,3,0
44,4,0
44,5,1
44,7,1
44,9,1
44,10,1
45,2,1
45,5,1
45,6,1
45,7,1
45,9,1
46,3,0
46,5,1
46,7,1
46,10,1
47,2,1
47,4,1
47,8,1
47,10,1
48,5,1
48,10,2
49,1,1
49,3,1
49,6,1
49,8,0
49,9,1
50,1,0
50,2,1
50,4,1
50,5,1
51,1,1
51,2,1
51,4,1
51,6,1
52,3,0
52,7,1
52,8,0
52,10,1
53,3,1
53,5,1
53,6,1
53,10,1
54,1,0
54,6,1
54,8,2
54,9,1
55,1,2
55,8,2
56,6,1
56,7,1
56,8,1
57,4,0
57,6,1
57,10,1
58,4,0
58,5,1
58,9,1
59,1,0
59,9,2
59,10,1
60,4,0
60,6,1
60,9,1
61,1,0
61,2,2
61,6,1
61,7,0
61,8,1
62,2,2
62,3,0
62,10,1
63,1,1
63,4,1
63,6,1
63,10,1
64,1,0
64,4,0
64,7,0
64,8,0
64,9,1
64,10,1
65,4,1
65,6,0
65,7,0
65,9,1
65,10,1
66,6,2
66,9,3
66,10,1
67,2,1
67,3,1
67,5,1
67,7,1
67,9,1
68,5,1
68,6,1
68,7,0
68,9,1
69,1,1
69,6,1
69,9,2
70,2,2
70,3,0
70,4,0
70,8,1
71,1,1
71,7,1
71,8,1
71,9,1
71,10,1
72,4,1
72,6,2
72,8,0
72,10,2
73,2,1
73,3,1
73,7,1
73,10,1
74,1,1
74,5,1
74,9,1
75,2,1
75,3,1
75,8,1
75,10,2
76,1,0
76,3,1
76,4,0
77,4,0
77,5,1
77,7,1
77,8,2
78,1,1
78,3,1
78,4,0
78,9,1
79,1,0
79,5,1
79,6,1
79,9,1
80,1,1
80,8,2
80,10,1
81,3,0
81,4,1
81,6,1
81,7,0
81,10,0
82,1,0
82,3,0
82,6,2
83,1,0
83,4,3
83,10,2
84,1,0
84,3,0
84,4,1
84,8,1
85,4,0
85,8,1
85,9,2
86,1,0
86,4,1
86,5,1
86,8,1
87,1,1
87,3,1
87,4,2
87,9,1
88,2,1
88,3,0
88,6,2
88,7,1
88,8,1
89,3,1
89,4,0
89,7,1
89,8,1
89,10,1
90,2,1
90,4,2
90,6,1
90,7,2
91,6,1
91,7,1
91,9,3
92,7,1
92,9,1
93,5,1
93,8,0
93,9,1
94,1,0
94,2,1
94,6,1
94,7,0
94,10,2
95,2,1
95,3,1
95,5,1
95,8,1
96,1,1
96,4,1
96,10,1
97,1,0
97,5,1
97,8,1
97,9,1
98,3,1
98,5,1
98,7,0
98,8,1
98,10,1
99,2,1
99,3,0
99,5,1
99,7,0
100,1,0
100,7,1
101,4,0
101,6,1
101,9,0
101,10,1
102,2,1
102,9,2
103,7,2
103,8,1
103,10,1
104,1,0
104,4,0
104,7,1
104,8,2
104,10,1
105,1,1
105,3,2
105,5,1
105,10,1
106,1,0
106,4,0
106,6,1
107,1,0
107,6,2
107,7,1
107,10,1
108,2,2
108,4,0
108,6,1
109,1,0
109,3,0
109,4,0
109,5,1
110,5,1
110,6,0
110,8,1
110,10,1
111,4,0
111,6,1
111,8,0
111,10,2
112,1,1
112,2,1
112,3,0
112,9,1
112,10,1
113,2,1
113,4,0
113,5,1
113,8,1
113,9,1
114,1,0
114,2,1
114,3,0
114,4,0
115,3,1
115,6,1
115,7,0
116,7,1
116,8,1
117,1,0
117,6,2
117,10,1
118,6,1
119,3,0
119,6,1
119,7,1
119,8,1
119,9,1
120,1,0
120,2,1
120,3,2
120,5,1
121,1,2
121,2,3
122,5,1
122,6,2
122,9,1
123,2,1
123,3,0
123,4,0
123,5,1
123,7,0
123,8,1
124,1,0
124,3,1
124,6,1
124,7,0
125,4,1
125,5,1
125,9,1
126,3,1
126,4,1
126,7,1
126,9,1
126,10,1
127,2,1
127,3,1
127,4,1
128,1,1
128,4,2
128,5,1
128,9,1
129,1,1
129,2,1
129,6,1
129,9,1
129,10,1
130,2,1
130,5,1
130,10,1
131,3,0
131,5,1
131,8,1
131,9,1
132,4,1
132,8,1
132,10,1
133,2,1
133,3,3
133,4,1
133,6,1
134,3,1
134,7,1
134,8,1
134,9,2
134,10,1
135,3,0
135,5,1
135,7,0
135,10,1
136,2,1
136,6,1
136,7,0
136,10,2
137,4,1
137,5,0
137,7,0
137,8,1
137,10,1
138,3,0
138,9,1
138,10,2
139,2,2
139,6,1
139,8,1
139,9,1
140,2,1
140,4,1
140,6,2
140,9,1
141,2,1
141,6,1
141,10,2
142,1,0
142,4,0
142,8,2
143,2,2
143,5,1
143,8,1
144,3,0
144,4,1
144,6,1
144,10,2
145,1,0
145,2,1
145,4,0
145,6,1
145,7,2
146,4,0
146,5,2
146,7,0
146,8,1
147,2,2
147,7,1
148,1,1
148,2,1
148,4,1
148,6,1
148,7,1
148,10,1
149,1,0
149,2,1
149,3,0
149,5,1
150,1,0
150,2,1
150,5,1
150,8,1
150,9,1
151,4,1
151,5,2
151,6,1
151,7,1
151,10,1
152,3,0
152,7,0
152,8,1
152,10,1
153,1,0
153,5,1
153,6,1
153,10,1
154,2,1
154,3,2
154,10,1
155,3,1
155,5,1
156,1,0
156,6,1
156,7,0
156,9,1
157,1,0
157,3,1
157,6,2
158,1,0
158,2,2
158,3,0
158,7,1
159,2,1
159,3,0
159,5,1
159,7,0
159,10,1
160,5,1
160,6,0
160,8,0
160,10,1
161,2,1
161,3,1
161,7,0
162,1,1
162,5,1
162,7,1
162,8,1
163,1,1
163,2,1
163,3,1
163,5,2
163,9,1
164,4,0
164,7,1
164,8,1
164,10,1
165,2,1
165,3,1
165,4,0
165,7,0
165,10,1
166,1,0
166,2,0
166,5,1
166,10,1
167,3,0
167,8,1
167,10,1
168,5,2
168,6,2
169,1,0
169,3,0
169,5,1
169,6,1
170,1,0
170,8,1
171,3,1
172,1,2
172,3,1
172,7,1
172,10,1
173,5,1
173,7,0
173,9,1
173,10,2
174,6,0
174,9,1
174,10,1
175,4,1
175,5,1
176,4,0
176,7,0
176,9,1
177,3,1
177,7,1
177,9,2
177,10,1
178,2,1
178,6,1
178,7,0
178,8,1
179,1,0
179,3,0
179,5,1
179,6,1
179,7,0
179,10,1
180,4,2
180,5,1
180,6,1
180,9,1
181,5,1
181,6,2
182,2,1
182,3,0
182,7,1
183,2,1
183,4,0
183,7,0
183,9,1
183,10,1
184,3,1
184,4,1
184,7,1
184,9,1
185,3,0
185,7,1
186,1,0
186,2,1
186,3,0
186,8,1
187,2,1
187,6,1
187,8,1
187,9,1
188,5,2
188,6,1
188,9,1
189,4,1
189,7,2
189,10,1
190,1,0
190,4,1
190,8,1
191,3,0
191,4,1
191,9,2
192,3,1
192,4,0
192,6,1
192,9,1
193,1,2
193,3,1
193,4,1
193,10,1
194,3,1
194,4,1
194,6,1
194,9,1
194,10,1
195,1,1
195,2,1
195,5,1
195,10,2
196,5,3
196,9,1
196,10,2
197,2,1
197,4,1
197,7,0
198,4,0
198,6,1
198,7,1
199,2,1
199,3,1
199,5,1
199,6,0
199,10,1
200,4,0
200,6,1
200,10,1
201,2,1
201,9,1
202,3,0
202,4,1
202,6,1
202,7,1
202,9,1
203,1,1
203,4,0
203,6,1
203,7,0
203,10,1
204,4,1
204,5,1
204,8,1
204,10,1
205,4,0
205,8,1
205,10,2
206,3,0
206,4,2
206,9,1
207,6,1
207,8,2
207,10,1
208,1,0
208,2,2
208,3,0
208,9,1
209,2,1
209,4,0
209,7,0
209,8,0
209,9,2
210,3,1
210,4,2
210,10,1
211,1,0
211,3,1
211,4,0
211,7,0
212,1,0
212,4,0
212,7,0
212,10,1
213,3,1
213,5,1
213,6,0
214,6,1
214,8,1
214,9,2
215,4,1
215,7,1
215,8,1
215,10,1
216,2,2
216,6,2
216,8,1
216,9,1
217,2,2
217,6,0
217,7,1
217,10,1
218,6,1
218,10,1
219,5,2
219,6,0
220,1,1
220,3,1
220,6,1
220,8,1
220,10,2
221,3,0
221,5,1
221,7,0
221,8,1
222,2,1
222,6,3
223,1,1
223,4,2
223,5,1
223,10,1
224,2,1
224,4,1
225,1,1
225,2,1
225,4,1
226,3,1
226,5,1
226,9,2
227,4,0
227,6,1
227,7,1
227,9,1
227,10,1
228,3,1
228,5,1
228,8,1
228,9,2
229,1,0
229,3,1
229,6,1
229,7,2
230,5,2
230,8,1
230,9,1
231,1,0
231,2,2
231,8,1
232,1,0
232,3,0
232,4,0
232,8,1
233,2,1
233,5,1
233,9,1
234,2,1
234,4,1
234,5,1
234,8,0
234,9,1
235,2,1
235,4,0
235,5,1
235,6,1
236,4,1
236,5,1
236,7,0
237,2,1
237,4,1
237,7,1
237,8,1
238,3,1
238,4,0
